sample,DF1,DF2,TDF2,CASCADE
396,0.0001113256,0.0001113256,0.0001113256,0.0001113256
397,0.0001264196,0.0001264196,0.0001264196,0.0001264196
398,0.0001325306,0.0001325306,0.0001325306,0.0001325306
399,0.0001294805,0.0001294805,0.0001294805,0.0001294805
400,0.0001177177,0.0001177177,0.0001177177,0.0001177177
401,0.0000982709,0.0000982709,0.0000982709,0.0000982709
402,0.0000726632,0.0000726632,0.0000726632,0.0000726632
403,0.0000427959,0.0000427959,0.0000427959,0.0000427959
404,0.0000108097,0.0000108097,0.0000108097,0.0000108097
405,-0.0000210675,-0.0000210675,-0.0000210675,-0.0000210675
406,-0.0000506737,-0.0000506737,-0.0000506737,-0.0000506737
407,-0.0000760582,-0.0000760582,-0.0000760582,-0.0000760582
408,-0.0000956085,-0.0000956085,-0.0000956085,-0.0000956085
409,-0.0001081508,-0.0001081508,-0.0001081508,-0.0001081508
410,-0.0001130180,-0.0001130180,-0.0001130180,-0.0001130180
411,-0.0001100818,-0.0001100818,-0.0001100818,-0.0001100818
412,-0.0000997475,-0.0000997475,-0.0000997475,-0.0000997475
413,-0.0000829118,-0.0000829118,-0.0000829118,-0.0000829118
414,-0.0000608893,-0.0000608893,-0.0000608893,-0.0000608893
415,-0.0000353124,-0.0000353124,-0.0000353124,-0.0000353124
416,-0.0000080116,-0.0000080116,-0.0000080116,-0.0000080116
417,0.0000191136,0.0000191136,0.0000191136,0.0000191136
418,0.0000442258,0.0000442258,0.0000442258,0.0000442258
419,0.0000656726,0.0000656726,0.0000656726,0.0000656726
420,0.0000820944,0.0000820944,0.0000820944,0.0000820944
421,0.0000925082,0.0000925082,0.0000925082,0.0000925082
422,0.0000963654,0.0000963654,0.0000963654,0.0000963654
423,0.0000935768,0.0000935768,0.0000935768,0.0000935768
424,0.0000845069,0.0000845069,0.0000845069,0.0000845069
425,0.0000699372,0.0000699372,0.0000699372,0.0000699372
426,0.0000510022,0.0000510022,0.0000510022,0.0000510022
427,0.0000291028,0.0000291028,0.0000291028,0.0000291028
428,0.0000058043,0.0000058043,0.0000058043,0.0000058043
429,-0.0000172742,-0.0000172742,-0.0000172742,-0.0000172742
430,-0.0000385713,-0.0000385713,-0.0000385713,-0.0000385713
431,-0.0000566877,-0.0000566877,-0.0000566877,-0.0000566877
432,-0.0000704768,-0.0000704768,-0.0000704768,-0.0000704768
433,-0.0000791165,-0.0000791165,-0.0000791165,-0.0000791165
