sample,DF1,DF2,TDF2,CASCADE
189,0.0001278520,0.1571010351,0.0001278520,0.0000692606
190,-0.0004364252,0.1570792794,-0.0004364252,-0.0004900694
191,-0.0009528995,0.1570623517,-0.0009528995,-0.0010013580
192,-0.0013877749,0.1571025848,-0.0013877749,-0.0014311671
193,-0.0017136931,0.1570788622,-0.0017136931,-0.0017524362
194,-0.0019114017,0.1570960879,-0.0019114017,-0.0019462705
195,-0.0019708276,0.1571093798,-0.0019708276,-0.0020028353
196,-0.0018915534,0.1570777297,-0.0018915534,-0.0019218922
197,-0.0016826391,0.1570963264,-0.0016826391,-0.0017125010
198,-0.0013617277,0.1570828557,-0.0013617277,-0.0013924837
199,-0.0009536147,0.1570722461,-0.0009536147,-0.0009861588
200,-0.0004884005,0.1570973396,-0.0004884005,-0.0005237460
201,0.0000007749,0.1570826173,0.0000007749,-0.0000378489
202,0.0004799962,0.1570933461,0.0004799962,0.0004377961
203,0.0009168983,0.1571015716,0.0009168983,0.0008711219
204,0.0012828708,0.1570817828,0.0012828708,0.0012338758
205,0.0015548468,0.1570935249,0.0015548468,0.0015033484
206,0.0017167926,0.1570850015,0.0017167926,0.0016635060
207,0.0017605424,0.1570784450,0.0017605424,0.0017065406
208,0.0016862154,0.1570940614,0.0016862154,0.0016325712
209,0.0015019774,0.1570848823,0.0015019774,0.0014496446
210,0.0012233257,0.1570916176,0.0012233257,0.0011730790
211,0.0008717179,0.1570966840,0.0008717179,0.0008241534
212,0.0004730821,0.1570844650,0.0004730821,0.0004284978
213,0.0000558496,0.1570917368,0.0000558496,0.0000141263
214,-0.0003510118,0.1570863724,-0.0003510118,-0.0003902316
215,-0.0007200241,0.1570823193,-0.0007200241,-0.0007575154
216,-0.0010270476,0.1570920944,-0.0010270476,-0.0010636449
217,-0.0012528300,0.1570862532,-0.0012528300,-0.0012894273
218,-0.0013841391,0.1570905447,-0.0013841391,-0.0014217496
219,-0.0014145374,0.1570936441,-0.0014145374,-0.0014539957
220,-0.0013446212,0.1570860744,-0.0013446212,-0.0013867021
221,-0.0011817813,0.1570905447,-0.0011817813,-0.0012269616
222,-0.0009394884,0.1570871472,-0.0009394884,-0.0009881258
223,-0.0006362200,0.1570847631,-0.0006362200,-0.0006884933
224,-0.0002941489,0.1570907831,-0.0002941489,-0.0003499985
225,0.0000624657,0.1570872068,0.0000624657,0.0000033379
226,0.0004090071,0.1570898294,0.0004090071,0.0003470778
227,0.0007221699,0.1570917368,0.0007221699,0.0006582737
228,0.0009814501,0.1570870280,0.0009814501,0.0009165406
229,0.0011705756,0.1570898294,0.0011705756,0.0011057258
230,0.0012784600,0.1570877433,0.0012784600,0.0012148619
231,0.0012997985,0.1570861936,0.0012997985,0.0012386441
232,0.0012353659,0.1570899487,0.0012353659,0.0011776090
233,0.0010917187,0.1570877433,0.0010917187,0.0010382533
234,0.0008806586,0.1570894122,0.0008806586,0.0008320212
235,0.0006182790,0.1570906043,0.0006182790,0.0005747080
236,0.0003237724,0.1570876241,0.0003237724,0.0002853274
237,0.0000180602,0.1570893526,0.0000180602,-0.0000160336
238,-0.0002777576,0.1570881605,-0.0002777576,-0.0003082156
239,-0.0005438328,0.1570871472,-0.0005438328,-0.0005718470
240,-0.0007628798,0.1570894718,-0.0007628798,-0.0007896423
241,-0.0009212494,0.1570881009,-0.0009212494,-0.0009481311
242,-0.0010098219,0.1570891738,-0.0010098219,-0.0010380149
243,-0.0010244250,0.1570898294,-0.0010244250,-0.0010550618
244,-0.0009660125,0.1570881009,-0.0009660125,-0.0009999871
245,-0.0008404851,0.1570891142,-0.0008404851,-0.0008785129
246,-0.0006581545,0.1570882797,-0.0006581545,-0.0007004738
247,-0.0004329085,0.1570877433,-0.0004329085,-0.0004796982
248,-0.0001811385,0.1570891738,-0.0001811385,-0.0002321005
249,0.0000794530,0.1570883393,0.0000794530,0.0000247359
250,0.0003310442,0.1570889950,0.0003310442,0.0002731085
251,0.0005568862,0.1570894718,0.0005568862,0.0004963875
252,0.0007423759,0.1570882201,0.0007423759,0.0006800890
253,0.0008760095,0.1570890546,0.0008760095,0.0008127689
254,0.0009501576,0.1570883989,0.0009501576,0.0008866787
255,0.0009614229,0.1570881605,0.0009614229,0.0008984804
256,0.0009106994,0.1570889950,0.0009106994,0.0008490086
257,0.0008031130,0.1570883989,0.0008031130,0.0007430315
258,0.0006474853,0.1570889354,0.0006474853,0.0005894899
259,0.0004556775,0.1570890546,0.0004556775,0.0004000068
260,0.0002416968,0.1570884585,0.0002416968,0.0001882315
261,0.0000206828,0.1570888162,0.0000206828,-0.0000306368
262,-0.0001921654,0.1570884585,-0.0001921654,-0.0002417564
263,-0.0003825426,0.1570882797,-0.0003825426,-0.0004307628
264,-0.0005381107,0.1570888758,-0.0005381107,-0.0005856752
265,-0.0006493330,0.1570885181,-0.0006493330,-0.0006966591
266,-0.0007099509,0.1570888162,-0.0007099509,-0.0007574558
267,-0.0007172823,0.1570889354,-0.0007172823,-0.0007652044
268,-0.0006722808,0.1570884585,-0.0006722808,-0.0007207394
269,-0.0005794168,0.1570886970,-0.0005794168,-0.0006285310
270,-0.0004462600,0.1570885181,-0.0004462600,-0.0004960895
271,-0.0002828836,0.1570884585,-0.0002828836,-0.0003334284
272,-0.0001011491,0.1570886970,-0.0001011491,-0.0001524091
273,0.0000861287,0.1570885777,0.0000861287,0.0000341535
274,0.0002661347,0.1570886970,0.0002661347,0.0002135038
275,0.0004268289,0.1570888162,0.0004268289,0.0003736615
276,0.0005577803,0.1570885777,0.0005577803,0.0005041361
277,0.0006508231,0.1570886970,0.0006508231,0.0005969405
278,0.0007006526,0.1570885777,0.0007006526,0.0006468296
279,0.0007050633,0.1570885181,0.0007050633,0.0006514192
280,0.0006650090,0.1570886970,0.0006650090,0.0006116629
281,0.0005844831,0.1570886374,0.0005844831,0.0005314350
282,0.0004701018,0.1570886970,0.0004701018,0.0004171729
283,0.0003305674,0.1570888162,0.0003305674,0.0002776980
284,0.0001759529,0.1570885777,0.0001759529,0.0001229048
285,0.0000170469,0.1570886374,0.0000170469,-0.0000361204
286,-0.0001353621,0.1570886374,-0.0001353621,-0.0001884699
287,-0.0002712011,0.1570885777,-0.0002712011,-0.0003239512
288,-0.0003818274,0.1570886970,-0.0003818274,-0.0004339814
289,-0.0004605055,0.1570886374,-0.0004605055,-0.0005115271
290,-0.0005028248,0.1570886374,-0.0005028248,-0.0005524158
291,-0.0005069375,0.1570886970,-0.0005069375,-0.0005546212
292,-0.0004736185,0.1570885777,-0.0004736185,-0.0005191565
293,-0.0004061460,0.1570886970,-0.0004061460,-0.0004493594
294,-0.0003100038,0.1570886374,-0.0003100038,-0.0003508329
295,-0.0001924038,0.1570885777,-0.0001924038,-0.0002311468
296,-0.0000618696,0.1570886970,-0.0000618696,-0.0000989437
297,0.0000724196,0.1570886374,0.0000724196,0.0000365376
298,0.0002012849,0.1570886374,0.0002012849,0.0001659393
299,0.0003162026,0.1570886970,0.0003162026,0.0002806783
300,0.0004097819,0.1570886374,0.0004097819,0.0003733635
301,0.0004762411,0.1570886970,0.0004762411,0.0004381537
302,0.0005118251,0.1570886374,0.0005118251,0.0004715919
303,0.0005149245,0.1570886374,0.0005149245,0.0004720092
304,0.0004861951,0.1570886970,0.0004861951,0.0004404783
305,0.0004284382,0.1570885777,0.0004284382,0.0003797412
306,0.0003463626,0.1570886970,0.0003463626,0.0002949238
307,0.0002462268,0.1570886970,0.0002462268,0.0001922846
308,0.0001353621,0.1570886970,0.0001353621,0.0000792742
309,0.0000215769,0.1570886970,0.0000215769,-0.0000361800
310,-0.0000872612,0.1570886970,-0.0000872612,-0.0001460910
311,-0.0001838803,0.1570886970,-0.0001838803,-0.0002431870
312,-0.0002620220,0.1570886970,-0.0002620220,-0.0003212094
313,-0.0003168583,0.1570886374,-0.0003168583,-0.0003753901
314,-0.0003452897,0.1570886374,-0.0003452897,-0.0004025698
315,-0.0003460646,0.1570886374,-0.0003460646,-0.0004017949
316,-0.0003198385,0.1570885777,-0.0003198385,-0.0003737211
317,-0.0002691150,0.1570886970,-0.0002691150,-0.0003210306
318,-0.0001980066,0.1570886374,-0.0001980066,-0.0002478957
319,-0.0001119375,0.1570886970,-0.0001119375,-0.0001598597
320,-0.0000171661,0.1570886970,-0.0000171661,-0.0000632405
321,0.0000796914,0.1570886374,0.0000796914,0.0000350475
322,0.0001720786,0.1570886374,0.0001720786,0.0001283884
323,0.0002538562,0.1570886970,0.0002538562,0.0002105832
324,0.0003197789,0.1570886374,0.0003197789,0.0002762079
325,0.0003657937,0.1570885777,0.0003657937,0.0003214478
326,0.0003893375,0.1570886970,0.0003893375,0.0003436804
327,0.0003893375,0.1570886374,0.0003893375,0.0003418326
328,0.0003663301,0.1570886970,0.0003663301,0.0003169775
329,0.0003224015,0.1570886374,0.0003224015,0.0002712011
330,0.0002610087,0.1570886374,0.0002610087,0.0002081990
