filter_type,order,cutoff,structure,signal,dtype,MAE
cheby1,6,1000,TDF2,impulse,float32,3.862504889015433e+32
cheby1,6,1000,TDF2,impulse,float16,nan
cheby1,6,1000,CASCADE,impulse,float32,8.243769239814683e-09
cheby1,6,1000,CASCADE,impulse,float16,0.0004982669823300025
cheby1,6,1000,DF1,random,float32,0.03253149691445108
cheby1,6,1000,DF1,random,float16,32864897.287245344
cheby1,6,1000,DF2,random,float32,0.015700765836881438
cheby1,6,1000,DF2,random,float16,7738196.8530387115
cheby1,6,1000,TDF2,random,float32,0.01570076690852117
cheby1,6,1000,TDF2,random,float16,5013730.910705414
cheby1,6,1000,CASCADE,random,float32,2.2255277515892765e-07
cheby1,6,1000,CASCADE,random,float16,0.019022325907360922
cheby1,6,2000,DF1,impulse,float32,1.994761550373889e-05
cheby1,6,2000,DF1,impulse,float16,nan
cheby1,6,2000,DF2,impulse,float32,1.994761550134693e-05
cheby1,6,2000,DF2,impulse,float16,nan
cheby1,6,2000,TDF2,impulse,float32,1.994761553216587e-05
cheby1,6,2000,TDF2,impulse,float16,nan
cheby1,6,2000,CASCADE,impulse,float32,2.0999051616011797e-09
cheby1,6,2000,CASCADE,impulse,float16,4.043984241089828e-05
cheby1,6,2000,DF1,random,float32,0.002032933564634165
cheby1,6,2000,DF1,random,float16,1382987442.8566895
cheby1,6,2000,DF2,random,float32,0.002079920436269393
cheby1,6,2000,DF2,random,float16,1435697134.810422
cheby1,6,2000,TDF2,random,float32,0.002079919957025797
cheby1,6,2000,TDF2,random,float16,1435683896.7028065
cheby1,6,2000,CASCADE,random,float32,2.237236865325563e-07
cheby1,6,2000,CASCADE,random,float16,0.004180305836138788
cheby1,6,5000,DF1,impulse,float32,1.5265756149562421e-07
cheby1,6,5000,DF1,impulse,float16,0.0003670456271767229
cheby1,6,5000,DF2,impulse,float32,1.526575615444666e-07
cheby1,6,5000,DF2,impulse,float16,0.000367045627176668
cheby1,6,5000,TDF2,impulse,float32,1.5265756158592065e-07
cheby1,6,5000,TDF2,impulse,float16,0.0003670456271766774
cheby1,6,5000,CASCADE,impulse,float32,5.2008324041231e-10
cheby1,6,5000,CASCADE,impulse,float16,3.6290188341753894e-06
cheby1,6,5000,DF1,random,float32,2.8012922285811885e-05
cheby1,6,5000,DF1,random,float16,0.06217408360573546
cheby1,6,5000,DF2,random,float32,2.817650610290638e-05
cheby1,6,5000,DF2,random,float16,0.06127475264389974
cheby1,6,5000,TDF2,random,float32,2.8176886342524853e-05
cheby1,6,5000,TDF2,random,float16,0.06127266836061263
cheby1,6,5000,CASCADE,random,float32,9.66586497477128e-08
cheby1,6,5000,CASCADE,random,float16,0.0005620645037268206
cheby1,8,1000,DF1,impulse,float32,3.7165869879958437e+247
cheby1,8,1000,DF1,impulse,float16,0.000585823828804661
cheby1,8,1000,DF2,impulse,float32,3.716586998476993e+247
cheby1,8,1000,DF2,impulse,float16,nan
cheby1,8,1000,TDF2,impulse,float32,3.716586970957956e+247
cheby1,8,1000,TDF2,impulse,float16,0.0005858239367058964
cheby1,8,1000,CASCADE,impulse,float32,8.937418200008595e-09
cheby1,8,1000,CASCADE,impulse,float16,0.000585824434410085
cheby1,8,1000,DF1,random,float32,0.9758598709705049
cheby1,8,1000,DF1,random,float16,0.020341718606318664
cheby1,8,1000,DF2,random,float32,1.5065460290525778
cheby1,8,1000,DF2,random,float16,0.013813364327130739
cheby1,8,1000,TDF2,random,float32,1.5065460345036386
cheby1,8,1000,TDF2,random,float16,0.01381336413985108
cheby1,8,1000,CASCADE,random,float32,3.922505224865069e-09
cheby1,8,1000,CASCADE,random,float16,0.013813364915560282
cheby1,8,2000,DF1,impulse,float32,0.0008335517366502627
cheby1,8,2000,DF1,impulse,float16,nan
cheby1,8,2000,DF2,impulse,float32,0.0008335517357938761
cheby1,8,2000,DF2,impulse,float16,nan
cheby1,8,2000,TDF2,impulse,float32,0.0008335517349542809
cheby1,8,2000,TDF2,impulse,float16,nan
cheby1,8,2000,CASCADE,impulse,float32,4.777192891453118e-09
cheby1,8,2000,CASCADE,impulse,float16,0.0005877616005791922
cheby1,8,2000,DF1,random,float32,0.013891124777691942
cheby1,8,2000,DF1,random,float16,9160562207320.727
cheby1,8,2000,DF2,random,float32,0.01681096173409614
cheby1,8,2000,DF2,random,float16,6262673767335.647
cheby1,8,2000,TDF2,random,float32,0.01681096119288327
cheby1,8,2000,TDF2,random,float16,5402665778540.028
cheby1,8,2000,CASCADE,random,float32,4.1435795172491445e-07
cheby1,8,2000,CASCADE,random,float16,0.07120162996863494
cheby1,8,5000,DF1,impulse,float32,6.705667119889625e-06
cheby1,8,5000,DF1,impulse,float16,nan
cheby1,8,5000,DF2,impulse,float32,6.705667122264384e-06
cheby1,8,5000,DF2,impulse,float16,nan
cheby1,8,5000,TDF2,impulse,float32,6.705667121508286e-06
cheby1,8,5000,TDF2,impulse,float16,nan
cheby1,8,5000,CASCADE,impulse,float32,8.479020506145169e-10
cheby1,8,5000,CASCADE,impulse,float16,8.473098443381585e-06
cheby1,8,5000,DF1,random,float32,0.0009131323428917461
cheby1,8,5000,DF1,random,float16,16222190808.013056
cheby1,8,5000,DF2,random,float32,0.0009029736034134145
cheby1,8,5000,DF2,random,float16,5547837828.955744
cheby1,8,5000,TDF2,random,float32,0.0009029730840221096
cheby1,8,5000,TDF2,random,float16,5550518171.655448
cheby1,8,5000,CASCADE,random,float32,7.618130575746417e-08
cheby1,8,5000,CASCADE,random,float16,0.001576047520864002
cheby2,2,1000,DF1,impulse,float32,9.322900392118384e-10
cheby2,2,1000,DF1,impulse,float16,8.118908692974215e-06
cheby2,2,1000,DF2,impulse,float32,9.322900402560249e-10
cheby2,2,1000,DF2,impulse,float16,8.118908692974832e-06
cheby2,2,1000,TDF2,impulse,float32,9.32290039851658e-10
cheby2,2,1000,TDF2,impulse,float16,8.11890869297503e-06
cheby2,2,1000,CASCADE,impulse,float32,9.33865089348279e-10
cheby2,2,1000,CASCADE,impulse,float16,8.127277087580923e-06
cheby2,2,1000,DF1,random,float32,1.2876198438921405e-06
cheby2,2,1000,DF1,random,float16,0.008233875827185782
cheby2,2,1000,DF2,random,float32,2.0517077727377763e-07
cheby2,2,1000,DF2,random,float16,0.0020013128219424255
cheby2,2,1000,TDF2,random,float32,3.646359084822845e-07
cheby2,2,1000,TDF2,random,float16,0.003798438564791248
cheby2,2,1000,CASCADE,random,float32,2.0733247225013241e-07
cheby2,2,1000,CASCADE,random,float16,0.002001229943140412
cheby2,2,2000,DF1,impulse,float32,2.435771874913573e-10
cheby2,2,2000,DF1,impulse,float16,3.970626056989492e-06
cheby2,2,2000,DF2,impulse,float32,2.435771868572045e-10
cheby2,2,2000,DF2,impulse,float16,3.970626056988924e-06
cheby2,2,2000,TDF2,impulse,float32,2.435771873793372e-10
cheby2,2,2000,TDF2,impulse,float16,3.970626056989492e-06
cheby2,2,2000,CASCADE,impulse,float32,2.437681206141588e-10
cheby2,2,2000,CASCADE,impulse,float16,3.966827513345643e-06
cheby2,2,2000,DF1,random,float32,2.9334439689041037e-07
cheby2,2,2000,DF1,random,float16,0.002403752351754648
cheby2,2,2000,DF2,random,float32,4.21395078846476e-08
cheby2,2,2000,DF2,random,float16,0.0013160081695104198
cheby2,2,2000,TDF2,random,float32,1.8730981347303554e-07
cheby2,2,2000,TDF2,random,float16,0.0017342220224787171
cheby2,2,2000,CASCADE,random,float32,4.4285045740777297e-08
cheby2,2,2000,CASCADE,random,float16,0.001325056454809553
cheby2,2,5000,DF1,impulse,float32,2.1218579508265547e-11
cheby2,2,5000,DF1,impulse,float16,4.1111625674889266e-07
cheby2,2,5000,DF2,impulse,float32,2.121857941930284e-11
cheby2,2,5000,DF2,impulse,float16,4.1111625674894713e-07
cheby2,2,5000,TDF2,impulse,float32,2.1218579508265547e-11
cheby2,2,5000,TDF2,impulse,float16,4.1111625674889266e-07
cheby2,2,5000,CASCADE,impulse,float32,2.293613256392119e-11
cheby2,2,5000,CASCADE,impulse,float16,4.0258325429435654e-07
cheby2,2,5000,DF1,random,float32,3.16596947629727e-08
cheby2,2,5000,DF1,random,float16,0.0003538981138743491
cheby2,2,5000,DF2,random,float32,1.2713460202096182e-08
cheby2,2,5000,DF2,random,float16,0.0002526163435563136
cheby2,2,5000,TDF2,random,float32,3.0347147506396e-08
cheby2,2,5000,TDF2,random,float16,0.0003573272648237064
cheby2,2,5000,CASCADE,random,float32,1.3449923322306212e-08
cheby2,2,5000,CASCADE,random,float16,0.0002662614262217405
cheby2,4,1000,DF1,impulse,float32,7.265579283034608e-07
cheby2,4,1000,DF1,impulse,float16,0.007193057455049934
cheby2,4,1000,DF2,impulse,float32,7.265579290247407e-07
cheby2,4,1000,DF2,impulse,float16,0.007193057455052721
cheby2,4,1000,TDF2,impulse,float32,7.265579290638792e-07
cheby2,4,1000,TDF2,impulse,float16,0.007193057455051827
cheby2,4,1000,CASCADE,impulse,float32,2.956636912037024e-09
cheby2,4,1000,CASCADE,impulse,float16,4.801160148278124e-05
cheby2,4,1000,DF1,random,float32,0.04967853182179542
cheby2,4,1000,DF1,random,float16,68.56887321976701
cheby2,4,1000,DF2,random,float32,4.092812210461316e-05
cheby2,4,1000,DF2,random,float16,0.30814777929109605
cheby2,4,1000,TDF2,random,float32,5.122584132293807e-05
cheby2,4,1000,TDF2,random,float16,0.45509504555350744
cheby2,4,1000,CASCADE,random,float32,6.545286854856002e-08
cheby2,4,1000,CASCADE,random,float16,0.004828118291524427
cheby2,4,2000,DF1,impulse,float32,1.7206348315987653e-08
cheby2,4,2000,DF1,impulse,float16,0.00012542145784241526
cheby2,4,2000,DF2,impulse,float32,1.720634831832333e-08
cheby2,4,2000,DF2,impulse,float16,0.00012542145784239552
cheby2,4,2000,TDF2,impulse,float32,1.7206348299612422e-08
cheby2,4,2000,TDF2,impulse,float16,0.00012542145784239043
cheby2,4,2000,CASCADE,impulse,float32,2.246559522362064e-09
cheby2,4,2000,CASCADE,impulse,float16,1.4344353068270946e-05
cheby2,4,2000,DF1,random,float32,0.00034828059549355303
cheby2,4,2000,DF1,random,float16,3.3167629234512606
cheby2,4,2000,DF2,random,float32,1.4367307854137867e-06
