filter_name,type,structure,cutoff,order,signal,MAE
bessel,float,DF1,5000,6,rand,2.13498285e-06
bessel,float,DF2,5000,6,impulse,3.03303144e-09
bessel,float,DF2,5000,6,rand,1.95258109e-06
bessel,float,TDF2,5000,6,impulse,3.29804694e-09
bessel,float,TDF2,5000,6,rand,1.82244582e-06
bessel,float,CASCADE,5000,6,impulse,3.45788131e-09
bessel,float,CASCADE,5000,6,rand,2.14414877e-06
bessel,float,DF1,1000,8,impulse,nan
bessel,float,DF1,1000,8,rand,2.21742500e-01
bessel,float,DF2,1000,8,impulse,nan
bessel,float,DF2,1000,8,rand,4.54209420e-01
bessel,float,TDF2,1000,8,impulse,nan
bessel,float,TDF2,1000,8,rand,2.53394814e-01
bessel,float,CASCADE,1000,8,impulse,nan
bessel,float,CASCADE,1000,8,rand,1.65388147e-01
bessel,float,DF1,2000,8,impulse,6.93097477e-06
bessel,float,DF1,2000,8,rand,2.31700310e-03
bessel,float,DF2,2000,8,impulse,9.19314905e-06
bessel,float,DF2,2000,8,rand,1.71920084e-03
bessel,float,TDF2,2000,8,impulse,4.08965144e-06
bessel,float,TDF2,2000,8,rand,1.57768227e-03
bessel,float,CASCADE,2000,8,impulse,2.04173746e-06
bessel,float,CASCADE,2000,8,rand,2.13062622e-04
bessel,float,DF1,5000,8,impulse,2.13094335e-08
bessel,float,DF1,5000,8,rand,6.99294027e-06
bessel,float,DF2,5000,8,impulse,2.71204222e-08
bessel,float,DF2,5000,8,rand,8.64151238e-06
bessel,float,TDF2,5000,8,impulse,1.76920593e-08
bessel,float,TDF2,5000,8,rand,1.03943526e-05
bessel,float,CASCADE,5000,8,impulse,1.89808021e-08
bessel,float,CASCADE,5000,8,rand,9.79123411e-06
